int;float;boolean;time;text
1;0.005;0;01.01.1900 03:05;randomtext 1
2;0.126;1;01.01.1900 09:49;randomtext 2
3;0.213;0;01.01.1900 07:15;randomtext 3
4;0.7896;0;02.01.1900 07:15;randomtext 4
5;0.2158;0;03.01.1900 07:15;randomtext 5
6;0.2157;1;04.01.1900 07:15;randomtext 6
7;0.9543;0;05.01.1900 07:15;randomtext 7
8;0.965;0;06.01.1900 07:15;randomtext 8
9;0.2458;0;07.01.1900 07:15;randomtext 9
10;0.1245;0;08.01.1900 07:15;randomtext 10
11;0.147;1;09.01.1900 07:15;randomtext 11
12;0.546;1;10.01.1900 07:15;randomtext 12
13;0.1578;1;11.01.1900 07:15;randomtext 13
14;0.753;0;12.01.1900 07:15;randomtext 14
15;0.159;0;13.01.1900 07:15;randomtext 15
16;0.675;0;14.01.1900 07:15;randomtext 16
17;0.3782;0;15.01.1900 07:15;randomtext 17
18;0.684;0;16.01.1900 07:15;randomtext 18
19;0.498;0;17.01.1900 07:15;randomtext 19
