int;float;boolean;time;enum
1;0.005;0;2020-10-17 00:00; a
2;0.126;1;2020-10-06 00:00; b
3;0.213;0;2020-10-24 00:00; c
4;0.7896;0;2020-10-09 00:00; a
5;0.2158;0;2020-09-30 00:00; a
6;0.2157;1;2020-10-10 00:00; a
7;0.9543;0;2020-10-07 00:00; a
8;0.965;0;2020-10-23 00:00; b
9;0.2458;0;2020-10-24 00:00; b
10;0.1245;0;2020-10-25 00:00; b
11;0.147;1;2020-10-14 00:00; b
12;0.546;1;2020-10-18 00:00; b
13;0.1578;1;2020-10-19 00:00; c
14;0.753;0;2020-10-25 00:00; c
15;0.159;0;2020-10-02 00:00; a
16;0.675;0;2020-10-05 00:00; a
17;0.3782;0;2020-10-20 00:00; a
18;0.684;0;2020-10-21 00:00; a
19;0.498;0;2020-10-21 00:00; a
