Stationsname;Stationsnummer;Gewaesser;Parameter;Zeitstempel_in_ISO8601;Wert;Einheit;Seehoehe;Rechtswert;Hochwert;EPSGCode
Scharnitz;101287;Isar;N;2020-11-11T00:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T00:30:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T00:45:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T01:00:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T01:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T01:30:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T01:45:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T02:00:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T02:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T02:30:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T02:45:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T03:00:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T03:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T03:30:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T03:45:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T04:00:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T04:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T04:30:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T04:45:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T05:00:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T05:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T05:30:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T05:45:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T06:00:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T06:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T06:30:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T06:45:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T07:00:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T07:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T07:30:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T07:45:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T08:00:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T08:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T08:30:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T08:45:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T09:00:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T09:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T09:30:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T09:45:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T10:00:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T10:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T10:30:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T10:45:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T11:00:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T11:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T11:30:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T11:45:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T12:00:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
Scharnitz;101287;Isar;N;2020-11-11T12:15:00+0100;0.0;mm;959.0;220354.49;250429.74;EPSG:31257
