id,Date,Location,Rainfall,MinTemp
1,2008-12-01,Albury,0.6,13.4
2,2008-12-02,Albury,0,7.4
3,2008-12-03,Albury,0,12.9
4,2008-12-04,Albury,0,9.2
5,2008-12-05,Albury,1,17.5
6,2008-12-06,Albury,0.2,14.6
7,2008-12-07,Albury,0,14.3
8,2008-12-08,Albury,0,7.7
9,2008-12-09,Albury,0,9.7
10,2008-12-10,Albury,1.4,13.1
11,2008-12-11,Albury,0,13.4
12,2008-12-12,Albury,2.2,15.9
13,2008-12-13,Albury,15.6,15.9
14,2008-12-14,Albury,3.6,12.6
15,2008-12-15,Albury,0,8.4
16,2008-12-16,Albury,NA,9.8
17,2008-12-17,Albury,0,14.1
18,2008-12-18,Albury,16.8,13.5
19,2008-12-19,Albury,10.6,11.2
20,2008-12-20,Albury,0,9.8
21,2008-12-21,Albury,0,11.5
22,2008-12-22,Albury,0,17.1
23,2008-12-23,Albury,0,20.5
24,2008-12-24,Albury,0,15.3
25,2008-12-25,Albury,0,12.6
26,2008-12-26,Albury,0,16.2
27,2008-12-27,Albury,0,16.9
28,2008-12-28,Albury,0,20.1
29,2008-12-29,Albury,0,19.7
30,2008-12-30,Albury,1.2,12.5
31,2008-12-31,Albury,0.8,12
32,2009-01-01,Albury,0,11.3
33,2009-01-02,Albury,0,9.6
34,2009-01-03,Albury,0,10.5
35,2009-01-04,Albury,0,12.3
36,2009-01-05,Albury,0,12.9
37,2009-01-06,Albury,0,13.7
38,2009-01-07,Albury,0,16.1
39,2009-01-08,Albury,0,14
40,2009-01-09,Albury,0,12.5
41,2009-01-10,Albury,0,17
42,2009-01-11,Albury,0,16.9
43,2009-01-12,Albury,0,17.3
44,2009-01-13,Albury,0,17.2
45,2009-01-14,Albury,0,17.4
46,2009-01-15,Albury,0,19.8
47,2009-01-16,Albury,0,14.9
48,2009-01-17,Albury,0,10.5
49,2009-01-18,Albury,0,11.3
50,2009-01-19,Albury,0,13.9
51,2009-01-20,Albury,0,18.6
52,2009-01-21,Albury,0.8,19.3
53,2009-01-22,Albury,0.6,24.4
54,2009-01-23,Albury,6.4,18.8
55,2009-01-24,Albury,0,20.8
56,2009-01-25,Albury,0,14
57,2009-01-26,Albury,0,15.7
58,2009-01-27,Albury,0,18.5
59,2009-01-28,Albury,0,20.4
60,2009-01-29,Albury,0,21.8
61,2009-01-30,Albury,0,22.3
62,2009-01-31,Albury,0,22
63,2009-02-01,Albury,0,28
64,2009-02-02,Albury,0.2,24.4
65,2009-02-03,Albury,0,21.5
66,2009-02-04,Albury,0,21.7
67,2009-02-05,Albury,0,21.5
68,2009-02-06,Albury,0,23.5
69,2009-02-07,Albury,0,22.3
70,2009-02-08,Albury,0,28.3
71,2009-02-09,Albury,0.4,18.4
72,2009-02-10,Albury,0,14.9
73,2009-02-11,Albury,0,13.5
74,2009-02-12,Albury,0,16.1
75,2009-02-13,Albury,3,14.6
76,2009-02-14,Albury,0,12.4
77,2009-02-15,Albury,0,13.3
78,2009-02-16,Albury,0,17.2
79,2009-02-17,Albury,0,12.5
80,2009-02-18,Albury,0,18
81,2009-02-19,Albury,0,16.2
82,2009-02-20,Albury,0,18.7
83,2009-02-21,Albury,0,13.7
84,2009-02-22,Albury,0,15.5
85,2009-02-23,Albury,0,14.3
86,2009-02-24,Albury,0,12.9
87,2009-02-25,Albury,0,8.9
88,2009-02-26,Albury,0,15
89,2009-02-27,Albury,0,15.4
90,2009-02-28,Albury,0,16
91,2009-03-01,Albury,0,12.8
92,2009-03-02,Albury,0,13.2
93,2009-03-03,Albury,0,18
94,2009-03-04,Albury,0.2,13.8
95,2009-03-05,Albury,0,11.5
96,2009-03-06,Albury,0,7.6
97,2009-03-07,Albury,0,8.3
98,2009-03-08,Albury,0,11
99,2009-03-09,Albury,0,13.8
100,2009-03-10,Albury,0,15.5
101,2009-03-11,Albury,1.2,18.4
102,2009-03-12,Albury,0,20.9
103,2009-03-13,Albury,5.8,17.1
104,2009-03-14,Albury,3,16.4
105,2009-03-15,Albury,11.6,10
106,2009-03-16,Albury,0,8.8
107,2009-03-17,Albury,0,8.4
108,2009-03-18,Albury,0,9.3
109,2009-03-19,Albury,0,11.3
110,2009-03-20,Albury,0,11.5
111,2009-03-21,Albury,0,13.8
112,2009-03-22,Albury,0,14.6
113,2009-03-23,Albury,0,14.4
114,2009-03-24,Albury,0,10.8
115,2009-03-25,Albury,0.4,15.4
116,2009-03-26,Albury,1.8,13.3
117,2009-03-27,Albury,0,10.1
118,2009-03-28,Albury,0,9.1
119,2009-03-29,Albury,0,10.4
