nouniquestr,method,company,measurements,trialn
PhTYU,ac,CTS,0.501332280950137,97
KFFJU,em,TUW,0.306577044977463,86
UXWCP,mk,HTC,0.737568778596872,83
BkTbV,em,TUW,0.737568778596872,26
IfUdF,em,CTS,0.675328036956646,59
ZuRoI,zf,CTS,0.502136675196603,38
eRuYh,ac,CTS,0.358774137644222,67
aKTdT,mk,CTS,0.46557090919486,73
NTUkO,zf,HTC,0.887663938809766,24
KtCpK,zf,CTS,0.471990204828524,21
PhTYU,mk,CTS,0.784087681140623,83
KFFJU,zf,CTS,0.657014997230507,54
UXWCP,zf,CTS,0.781192556372895,47
BkTbV,em,TUW,0.753427633637604,0
IfUdF,zf,CTS,0.137444795402423,60
ZuRoI,mk,HTC,0.069650024180108,27
eRuYh,ac,TUW,0.26562595432621,98
aKTdT,mk,TUW,0.616493514149927,60
NTUkO,ac,HTC,0.71775893804792,91
KtCpK,em,CTS,0.827321997184366,13
PhTYU,em,HTC,0.758960788713877,69
KFFJU,ac,HTC,0.356319303389351,20
UXWCP,em,TUW,0.021614808274226,15
BkTbV,ac,HTC,0.765498422582602,77
IfUdF,em,CTS,0.47883078229334,22
ZuRoI,ac,TUW,0.581692844161832,49
eRuYh,zf,HTC,0.419944217271035,92
aKTdT,zf,TUW,0.717977181068112,4
NTUkO,ac,TUW,0.409514624427607,11
KtCpK,em,CTS,0.626349740329868,78
PhTYU,ac,TUW,0.30601263335111,51
KFFJU,zf,HTC,0.838683122539246,24
UXWCP,ac,CTS,0.368555145474351,90
BkTbV,ac,TUW,0.935038621990228,61
IfUdF,ac,TUW,0.736478803955792,93
ZuRoI,zf,TUW,0.709331177665151,18
eRuYh,mk,HTC,0.194355144887887,9
aKTdT,em,HTC,0.769985350404941,18
NTUkO,em,TUW,0.327783998214188,46
KtCpK,zf,CTS,0.593493616301224,61
PhTYU,em,TUW,0.19498349987936,17
KFFJU,ac,TUW,0.242429450819478,1
UXWCP,zf,CTS,0.239688409760775,59
BkTbV,ac,TUW,0.404343116219583,52
IfUdF,em,CTS,0.777257073382974,73
ZuRoI,zf,TUW,0.263630133032273,10
eRuYh,ac,TUW,0.523082019404436,59
aKTdT,ac,CTS,0.783236395986725,37
NTUkO,ac,TUW,0.039521619490261,38
KtCpK,mk,HTC,0.161556687640027,56
PhTYU,zf,HTC,0.263945626362543,79
KFFJU,mk,TUW,0.047639658308685,59
UXWCP,mk,TUW,0.963491379509378,8
BkTbV,ac,CTS,0.464696635916662,54
IfUdF,mk,TUW,0.757450922897851,90
ZuRoI,zf,HTC,0.40673114241221,89
eRuYh,em,HTC,0.427744261534689,96
aKTdT,ac,CTS,0.056073732441166,26
NTUkO,ac,TUW,0.584103597241608,11
KtCpK,ac,HTC,0.16212972283255,70
PhTYU,ac,CTS,0.879094819507873,75
KFFJU,zf,TUW,0.968030255988917,18
UXWCP,zf,CTS,0.772223917100129,87
BkTbV,ac,TUW,0.02983599437849,95
IfUdF,zf,CTS,0.469411934665869,90
ZuRoI,em,HTC,0.476377601908902,62
eRuYh,zf,TUW,0.890935612586877,62
aKTdT,ac,HTC,0.210193522770215,71
NTUkO,em,CTS,0.401154297297558,5
KtCpK,mk,HTC,0.223150720573972,24
PhTYU,zf,TUW,0.950197556598597,82
KFFJU,em,HTC,0.994023312911479,2
UXWCP,em,HTC,0.286103665522518,11
BkTbV,em,TUW,0.59497819960403,21
IfUdF,em,HTC,0.648880877011778,15
ZuRoI,em,CTS,0.017558214780879,21
eRuYh,em,CTS,0.94915073720889,68
aKTdT,mk,CTS,0.669250492689647,95
NTUkO,mk,TUW,0.567076436355155,90
KtCpK,em,TUW,0.648328522106518,27
PhTYU,ac,HTC,0.323295078751222,7
KFFJU,em,CTS,0.418823207409147,25
UXWCP,em,HTC,0.587008137751789,17
BkTbV,mk,CTS,0.317857276677717,47
IfUdF,em,TUW,0.859369461331605,91
ZuRoI,ac,HTC,0.962976151795363,42
eRuYh,em,TUW,0.069822593264206,68
aKTdT,em,CTS,0.835017985448519,93
NTUkO,mk,HTC,0.708214442896391,93
KtCpK,mk,TUW,0.44142593741091,91
PhTYU,em,HTC,0.69743335270489,37
KFFJU,ac,TUW,0.679262999014432,37
UXWCP,mk,CTS,0.161542591283731,66
BkTbV,em,TUW,0.498074410375021,76
IfUdF,em,TUW,0.556024758313496,86
ZuRoI,zf,CTS,0.237399550311264,2
eRuYh,zf,TUW,0.738036465174935,66
aKTdT,em,TUW,0.718948645983684,32
NTUkO,em,HTC,0.781925642656432,2
KtCpK,mk,TUW,0.061040768882147,96
PhTYU,mk,CTS,0.60607701549244,75
KFFJU,ac,HTC,0.96533415910375,10
UXWCP,em,TUW,0.349774416887271,78
BkTbV,ac,TUW,0.07029771592413,20
IfUdF,em,TUW,0.193356475513455,10
ZuRoI,zf,HTC,0.928021240361769,2
eRuYh,mk,TUW,0.56206038735047,7
aKTdT,ac,CTS,0.483512266685195,24
NTUkO,em,TUW,0.256460339435635,20
KtCpK,em,CTS,0.996600193587333,44
PhTYU,ac,CTS,0.981004678128415,17
