uniquestr,method,company,measurements,id,trialn,col 
thHHIFtu,em,HTC,0.097506084721833,1,77,77
bwVSURpq,em,HTC,0.373894663253876,2,57,56
DfcvYyqj,mk,CTS,0.617392515834279,3,91,89
THoTEgAS,em,TUW,0.41464887832766,4,67,64
CYHPUWpH,em,TUW,0.23197310213445,5,57,53
,mk,HTC,0.614460922520293,6,85,80
TRKRfhXU,ac,CTS,0.346804363669783,7,85,79
kChowiMx,zf,TUW,0.623215108408068,8,43,36
mzOoLKzS,em,HTC,0.141137304624948,9,2,-6
MdRTYuxK,em,HTC,0.522315942757331,10,69,60
VOhGkmXQ,zf,TUW,0.942271575460379,11,69,59
FsDcZyEI,zf,CTS,0.445167024032283,12,61,50
yNckapFx,ac,TUW,0.345769687379645,13,63,51
,ac,HTC,0.783278089561873,14,23,10
ObtAvgmD,zf,TUW,0.511031335295584,15,21,7
WrjQtmuV,mk,CTS,0.225738665940075,16,19,4
OYKRVKNy,mk,TUW,0.275951562488252,17,11,-5
hQXzVLaD,em,TUW,0.456226740312257,18,68,51
htVHssdw,ac,CTS,0.726071617872468,19,5,-13
fjoHXtbt,ac,CTS,0.166443409383234,20,76,57
hrCuHpMq,zf,HTC,0.913919113739866,21,20,0
pGafJqJS,em,TUW,0.479444406810446,22,16,-5
,em,HTC,0.02521332805911,23,70,48
piCIhtPO,zf,CTS,0.188931641787274,24,80,57
,mk,TUW,0.789497117787847,25,67,43
eERMDPtz,zf,HTC,0.455944709712223,26,15,-10
uWiTzwcM,ac,TUW,0.293381480740145,27,16,-10
dwXPmwlZ,zf,TUW,0.07770263300925,28,0,-27
tmVFCHXC,ac,HTC,0.172341022637672,29,93,65
DqKoNkSb,ac,CTS,0.19708156673861,30,19,-10
dgrXchAu,em,CTS,0.547203568992589,31,9,-21
lGQJUKgp,zf,TUW,0.268661496128732,32,7,-24
MARpCCNz,em,TUW,0.759290552568727,33,51,19
qNzEnpcA,em,CTS,0.157597011763123,34,15,-18
uPRtPVGE,mk,TUW,0.009375286565736,35,65,31
,em,TUW,0.292095534653398,36,39,4
ObmKTBis,em,TUW,0.87154138683369,37,14,-22
YIdvRyHg,mk,TUW,0.67808880108145,38,95,58
LDtWsvJd,ac,TUW,0.5992901469613,39,41,3
jfQphNGi,em,HTC,0.758155838386769,40,51,12
rClUaFPP,ac,TUW,0.713298650795173,41,73,33
aQsbGaBC,em,HTC,0.138354108901413,42,46,5
ppoFEvcd,ac,HTC,0.270493076986663,43,81,39
YSngulfn,em,HTC,0.876398798237453,44,4,-39
iodYjIkL,em,TUW,0.980103297691222,45,66,22
dVrOUGgO,zf,TUW,0.108856988040539,46,59,14
XhjdCsAx,em,CTS,0.62136837183948,47,46,0
tZpvEqhD,em,CTS,0.849383027020107,48,22,-25
saVpjFyC,mk,CTS,0.04624260412937,49,58,10
,zf,HTC,0.170531551612758,50,65,16
,ac,TUW,0.552827255457689,51,27,-23
,mk,HTC,0.301734590262673,52,52,1
ZeUUEHzo,mk,TUW,0.494917607620837,53,88,36
lwffTCKf,ac,CTS,0.434692070150394,54,91,38
GbehKWCo,mk,TUW,0.697036669376325,55,54,0
GTmSRQyQ,mk,HTC,0.319462935712567,56,82,27
UHxYYKig,zf,CTS,0.041720041303099,57,50,-6
ZQbvmriz,mk,HTC,0.769815947724151,58,23,-34
dIzWxOci,mk,TUW,0.01486937058625,59,52,-6
rhbYsMqr,em,TUW,0.200148805777346,60,64,5
gokPJgpr,mk,CTS,0.268652000753546,61,63,3
ifmDgFqw,ac,CTS,0.799671409356797,62,22,-39
LIXDStpN,em,HTC,0.861930911836697,63,65,3
VTRnHIqF,ac,CTS,0.131306278979964,64,19,-44
IGeNNPcG,mk,CTS,0.179508194593777,65,88,24
wKKfUJki,ac,CTS,0.12783669083468,66,63,-2
KIksSADw,zf,HTC,0.950620030890205,67,35,-31
eCrMuqJz,zf,HTC,0.921418154119487,68,58,-9
GjZpJVww,ac,TUW,0.199640186422632,69,92,24
RfWTMJms,mk,HTC,0.206957225103972,70,2,-67
XuQhTstT,zf,HTC,0.455968053009055,71,42,-28
bNQPiHWR,mk,HTC,0.478602928934415,72,61,-10
,mk,CTS,0.209004542851775,73,47,-25
damGnLHm,mk,CTS,0.535682138477557,74,19,-54
QlGgbsFG,ac,HTC,0.089797751514571,75,97,23
HSqpdbVr,ac,TUW,0.839520946236444,76,77,2
fjTrlOID,mk,HTC,0.149797154998853,77,23,-53
nYmpQPag,zf,HTC,0.918634935412297,78,58,-19
GngAeHhq,em,TUW,0.556868919710753,79,20,-58
vMswsxaS,ac,HTC,0.893244792262661,80,39,-40
zLGkSWnI,ac,CTS,0.951777907265463,81,61,-19
,ac,CTS,0.047089540842423,82,26,-55
,em,HTC,0.357998729428857,83,5,-77
QFhAbeap,zf,TUW,0.686230354691199,84,25,-58
TFaWQNrq,zf,CTS,0.393386271393998,85,43,-41
pYkWDKgA,mk,CTS,0.408932255244105,86,83,-2
bxKbeavR,em,TUW,0.592215628807786,87,93,7
YwSxQidP,em,HTC,0.642769462091863,88,1,-86
VEaTzGNq,em,HTC,0.544758426226973,89,12,-76
tFECkuNN,em,HTC,0.637703079511672,90,31,-58
EiGkBnZL,ac,TUW,0.12460355439022,91,47,-43
eNlHyBtx,ac,CTS,0.986109834236515,92,21,-70
GTLqxzaG,zf,TUW,0.910562444537908,93,13,-79
uiixcciD,mk,TUW,0.741270794791059,94,88,-5
,em,TUW,0.869277064523082,95,80,-14
jUSaFUbJ,ac,HTC,0.151213832345303,96,55,-40
brnzYAXK,zf,CTS,0.747386841373459,97,17,-79
IWyhPCfo,mk,HTC,0.697635538558137,98,87,-10
VVZRyKqY,em,HTC,0.994118494508862,99,16,-82
uRPSJroT,ac,HTC,0.875750507301545,100,64,-35
WenGpdfF,ac,HTC,0.892353149978222,101,35,-65
NDhOdjHs,mk,HTC,0.016223133833665,102,16,-85
DQJuGIke,zf,HTC,0.092576840491058,103,71,-31
OkBaYoni,ac,HTC,0.238415402484899,104,48,-55
ottDTaVt,mk,TUW,0.167619683936957,105,82,-22
yZOAPtXn,em,TUW,0.293420061955328,106,2,-103
zsVwQDbA,mk,TUW,0.728024219171746,107,53,-53
MPQtmvCI,mk,CTS,0.96962603986786,108,81,-26
rOmrSPSM,zf,TUW,0.730071531277072,109,90,-18
,ac,TUW,0.660427109570427,110,2,-107
KqSJqWlV,em,TUW,0.653524477096383,111,72,-38
bGfKPkCi,zf,HTC,0.527150117439129,112,6,-105
SiZaOjGh,mk,CTS,0.553379216648755,113,94,-18
WqpfAfyT,mk,HTC,0.981476528745842,114,32,-81
,zf,CTS,0.315671949680474,115,73,-41
fqkiduxD,zf,HTC,0.773284117646699,116,87,-28
yHKiRlTF,zf,CTS,0.917237621295899,117,49,-67
QHSaQSfI,em,TUW,0.671018367168184,118,42,-75
enYkidvc,zf,HTC,0.99651176651784,119,65,-53
PXUyGozK,ac,CTS,0.860270238825553,120,19,-100
VJZCIlzW,mk,TUW,0.268847223123196,121,89,-31
GaxpHHnC,zf,TUW,0.625624628178041,122,24,-97
lgesTeix,mk,HTC,0.612746605993665,123,16,-106
gmzFKsFv,mk,CTS,0.039252869036007,124,75,-48
CcfSURAQ,zf,HTC,0.772266849786676,125,71,-53
IcRfUBoF,em,CTS,0.358297756153146,126,10,-115
