linie,richtung,betriebsdatum,fahrzeug,kurs,seq_von,halt_diva_von,halt_punkt_diva_von,halt_kurz_von1,datum_von,soll_an_von,ist_an_von,soll_ab_von,ist_ab_von,seq_nach,halt_diva_nach,halt_punkt_diva_nach,halt_kurz_nach1,datum_nach,soll_an_nach,ist_an_nach1,soll_ab_nach,ist_ab_nach,fahrt_id,fahrweg_id,fw_no,fw_typ,fw_kurz,fw_lang,umlauf_von,halt_id_von,halt_id_nach,halt_punkt_id_von,halt_punkt_id_nach
2,1,15.01.17,2076,6,1,6030,0,DEP4,15.01.17,17580,17562,17580,17562,2,1357,1,KALK,15.01.17,17622,17647,17622,17664,8538,41253,15,2,15,DEP4 - KALK,135780,2251,1906,12462,10563
2,1,15.01.17,3056,3,1,478,0,BEZI,15.01.17,17790,17834,17790,17834,2,2556,0,STAU,15.01.17,17868,17919,17958,17943,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,1306,1502,12780,10622
2,1,15.01.17,3056,3,5,601,0,BOES,15.01.17,18180,18178,18192,18191,6,615,0,BURK,15.01.17,18270,18257,18288,18265,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,2228,2590,12823,12843
2,1,15.01.17,3056,3,4,1861,0,PARA,15.01.17,18120,18128,18138,18135,5,601,0,BOES,15.01.17,18180,18178,18192,18191,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,1528,2228,12584,12823
2,1,15.01.17,3056,3,3,2396,0,SIHS,15.01.17,18036,18043,18048,18055,4,1861,0,PARA,15.01.17,18120,18128,18138,18135,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,2657,1528,10574,12584
2,1,15.01.17,3056,3,2,2556,0,STAU,15.01.17,17868,17919,17958,17943,3,2396,0,SIHS,15.01.17,18036,18043,18048,18055,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,1502,2657,10622,10574
2,1,15.01.17,2076,6,2,137,0,BACH,15.01.17,18432,18513,18444,18516,3,1570,0,LIND,15.01.17,18486,18564,18504,18576,8540,42738,1,1,1,FARB - BTIE,135780,2818,2535,12583,10537
2,1,15.01.17,2076,6,1,821,0,FARB,15.01.17,18390,18453,18390,18453,2,137,0,BACH,15.01.17,18432,18513,18444,18516,8540,42738,1,1,1,FARB - BTIE,135780,1310,2818,10578,12583
2,1,15.01.17,3004,5,2,2556,0,STAU,15.01.17,18474,18537,18564,18555,3,2396,0,SIHS,15.01.17,18642,18638,18654,18657,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,1502,2657,10622,10574
2,1,15.01.17,3004,5,1,478,0,BEZI,15.01.17,18396,18459,18396,18459,2,2556,0,STAU,15.01.17,18474,18537,18564,18555,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,1306,1502,12780,10622
2,1,15.01.17,3011,9,1,6030,0,DEP4,15.01.17,18480,18473,18480,18473,2,1357,1,KALK,15.01.17,18522,18625,18522,18630,7906,41253,15,2,15,DEP4 - KALK,136585,2251,1906,12462,10563
2,1,15.01.17,3056,3,8,1845,0,OPER,15.01.17,18468,18421,18486,18453,9,1456,0,KRES,15.01.17,18534,18504,18546,18511,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,2104,2612,10538,10577
2,1,15.01.17,3056,3,7,440,0,BELL,15.01.17,18366,18334,18396,18353,8,1845,0,OPER,15.01.17,18468,18421,18486,18453,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,1565,2104,12485,10538
2,1,15.01.17,3056,3,6,615,0,BURK,15.01.17,18270,18257,18288,18265,7,440,0,BELL,15.01.17,18366,18334,18396,18353,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,2590,1565,12843,12485
2,1,15.01.17,2076,6,9,3019,0,ZYPR,15.01.17,18936,19023,18948,19029,10,1579,0,LOCH,15.01.17,18990,19079,19008,19088,8540,42738,1,1,1,FARB - BTIE,135780,2250,2248,10570,10559
2,1,15.01.17,2076,6,8,48,0,ALBP,15.01.17,18858,18952,18882,18966,9,3019,0,ZYPR,15.01.17,18936,19023,18948,19029,8540,42738,1,1,1,FARB - BTIE,135780,1535,2250,12463,10570
2,1,15.01.17,2076,6,7,1548,0,LETG,15.01.17,18774,18873,18786,18876,8,48,0,ALBP,15.01.17,18858,18952,18882,18966,8540,42738,1,1,1,FARB - BTIE,135780,2245,1535,10550,12463
2,1,15.01.17,2076,6,6,883,0,FREI,15.01.17,18708,18804,18726,18817,7,1548,0,LETG,15.01.17,18774,18873,18786,18876,8540,42738,1,1,1,FARB - BTIE,135780,2253,2245,5122,10550
2,1,15.01.17,2076,6,5,1364,0,KAPP,15.01.17,18636,18735,18648,18744,6,883,0,FREI,15.01.17,18708,18804,18726,18817,8540,42738,1,1,1,FARB - BTIE,135780,2244,2253,10576,5122
2,1,15.01.17,2076,6,4,1026,0,GRIM,15.01.17,18552,18630,18564,18653,5,1364,0,KAPP,15.01.17,18636,18735,18648,18744,8540,42738,1,1,1,FARB - BTIE,135780,2770,2244,10571,10576
2,1,15.01.17,2076,6,3,1570,0,LIND,15.01.17,18486,18564,18504,18576,4,1026,0,GRIM,15.01.17,18552,18630,18564,18653,8540,42738,1,1,1,FARB - BTIE,135780,2535,2770,10537,10571
2,1,15.01.17,3004,5,6,615,0,BURK,15.01.17,18876,18900,18894,18913,7,440,0,BELL,15.01.17,18972,18988,19002,18999,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,2590,1565,12843,12485
2,1,15.01.17,3004,5,5,601,0,BOES,15.01.17,18786,18824,18798,18828,6,615,0,BURK,15.01.17,18876,18900,18894,18913,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,2228,2590,12823,12843
2,1,15.01.17,3004,5,4,1861,0,PARA,15.01.17,18726,18755,18744,18773,5,601,0,BOES,15.01.17,18786,18824,18798,18828,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,1528,2228,12584,12823
2,1,15.01.17,3004,5,3,2396,0,SIHS,15.01.17,18642,18638,18654,18657,4,1861,0,PARA,15.01.17,18726,18755,18744,18773,8505,42743,11,1,11,BEZI - BTIE für Ausfahrt,135232,2657,1528,10574,12584
2,1,15.01.17,3056,3,13,2907,0,WILD,15.01.17,18786,18727,18798,18730,14,3041,0,BTIE,15.01.17,18870,18795,18870,19056,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,2651,2788,10566,12775
2,1,15.01.17,3056,3,12,917,0,FROE,15.01.17,18732,18690,18744,18694,13,2907,0,WILD,15.01.17,18786,18727,18798,18730,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,2680,2651,10545,10566
2,1,15.01.17,3056,3,11,1286,0,HOES,15.01.17,18666,18634,18678,18642,12,917,0,FROE,15.01.17,18732,18690,18744,18694,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,2615,2680,5964,10545
2,1,15.01.17,3056,3,10,832,0,FELD,15.01.17,18606,18571,18618,18580,11,1286,0,HOES,15.01.17,18666,18634,18678,18642,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,2689,2615,10560,5964
2,1,15.01.17,3056,3,9,1456,0,KRES,15.01.17,18534,18504,18546,18511,10,832,0,FELD,15.01.17,18606,18571,18618,18580,8448,42743,11,1,11,BEZI - BTIE für Ausfahrt,135319,2612,2689,10577,10560
2,1,15.01.17,2076,6,22,1286,0,HOES,15.01.17,20046,20061,20058,20070,23,917,0,FROE,15.01.17,20112,20132,20124,20134,8540,42738,1,1,1,FARB - BTIE,135780,2615,2680,5964,10545
2,1,15.01.17,2076,6,21,832,0,FELD,15.01.17,19986,20002,19998,20005,22,1286,0,HOES,15.01.17,20046,20061,20058,20070,8540,42738,1,1,1,FARB - BTIE,135780,2689,2615,10560,5964
2,1,15.01.17,2076,6,20,1456,0,KRES,15.01.17,19914,19929,19926,19946,21,832,0,FELD,15.01.17,19986,20002,19998,20005,8540,42738,1,1,1,FARB - BTIE,135780,2612,2689,10577,10560
2,1,15.01.17,2076,6,19,1845,0,OPER,15.01.17,19848,19865,19866,19878,20,1456,0,KRES,15.01.17,19914,19929,19926,19946,8540,42738,1,1,1,FARB - BTIE,135780,2104,2612,10538,10577
2,1,15.01.17,2076,6,18,440,0,BELL,15.01.17,19746,19785,19776,19797,19,1845,0,OPER,15.01.17,19848,19865,19866,19878,8540,42738,1,1,1,FARB - BTIE,135780,1565,2104,12485,10538
2,1,15.01.17,2076,6,17,615,0,BURK,15.01.17,19650,19714,19668,19723,18,440,0,BELL,15.01.17,19746,19785,19776,19797,8540,42738,1,1,1,FARB - BTIE,135780,2590,1565,12843,12485
2,1,15.01.17,2076,6,16,601,0,BOES,15.01.17,19560,19632,19572,19640,17,615,0,BURK,15.01.17,19650,19714,19668,19723,8540,42738,1,1,1,FARB - BTIE,135780,2228,2590,12823,12843
2,1,15.01.17,2076,6,15,1861,0,PARA,15.01.17,19500,19569,19518,19579,16,601,0,BOES,15.01.17,19560,19632,19572,19640,8540,42738,1,1,1,FARB - BTIE,135780,1528,2228,12584,12823
2,1,15.01.17,2076,6,14,2396,0,SIHS,15.01.17,19416,19463,19428,19474,15,1861,0,PARA,15.01.17,19500,19569,19518,19579,8540,42738,1,1,1,FARB - BTIE,135780,2657,1528,10574,12584
2,1,15.01.17,2076,6,13,2556,0,STAU,15.01.17,19248,19317,19338,19355,14,2396,0,SIHS,15.01.17,19416,19463,19428,19474,8540,42738,1,1,1,FARB - BTIE,135780,1502,2657,10622,10574
