id;float;boolean;date;text
1;0.82415839;0;02.12.1954;randomtext 1
2;0.788147281;1;06.01.1960;randomtext 2
3;0.068557598;0;04.09.1993;randomtext 3
4;0.005052854;0;20.10.1940;randomtext 4
5;0.971539207;0;25.05.1946;randomtext 5
6;0.488228578;1;23.08.1966;randomtext 6
7;0.878776634;0;15.01.1942;randomtext 7
8;0.612717543;0;10.03.1977;randomtext 8
9;0.507138264;0;09.01.2016;randomtext 9
10;0.385006604;0;17.11.1957;randomtext 10
11;0.869954028;1;17.09.1920;randomtext 11
12;0.65316011;1;08.10.1953;randomtext 12
13;0.347915127;1;02.04.2017;randomtext 13
14;0.834978914;0;21.10.1938;randomtext 14
15;0.233222738;0;22.11.1954;randomtext 15
16;0.948783514;0;31.05.1940;randomtext 16
17;0.795264559;0;22.10.1926;randomtext 17
18;0.593620632;0;06.12.1981;randomtext 18
19;0.410701869;0;30.06.2009;randomtext 19
